d_model,n_layers,n_heads,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,pr_auc_mean,pr_auc_std,throughput_flows_per_sec_mean,throughput_flows_per_sec_std,n
64,1,2,0.8538138549975324,0.13545817461832146,0.9948568872987478,0.0010247262287468434,0.8555607378341256,0.1422476847341735,1394862.9072508647,3865.985015483976,3
64,1,4,0.9289967822967716,0.011061446119351986,0.995304114490161,0.00038731010902698425,0.952984528616498,0.010381329938613949,1141720.1988050933,17714.348535793448,3
64,1,8,0.9299607672078806,0.006541654416954745,0.995304114490161,0.00022361359570659267,0.9513974046305842,0.0028275817459729393,866976.7474665245,10132.715445350652,3
64,2,2,0.9421813311483976,0.010240597565695139,0.9960494931425163,0.0006455168483783632,0.9552006536381933,0.006886160854058613,765835.8602099214,7265.428729563646,3
64,2,4,0.9201324639938963,0.03502778852746234,0.9959749552772809,0.00044722719141324085,0.9564258133784943,0.003553195427248801,611431.0099002467,4607.068850732195,3
64,2,8,0.9181672749363994,0.03980103198540397,0.9956768038163387,0.0002582067393513549,0.9169605979470846,0.052021522717323146,447072.8085435012,2336.9005527412974,3
64,4,2,0.9468119788104238,0.0026082483940926015,0.9961985688729875,0.0002236135957066343,0.9579987945402241,0.0068681399997955386,396859.958910781,1356.816626951595,3
64,4,4,0.878075945358688,0.11655963156868393,0.9960494931425163,0.0005164134787027578,0.9532213266395887,0.003458436979667949,314498.25315593585,640.8045058335355,3
64,4,8,0.8697935906640494,0.1095570167447585,0.9954531902206321,0.0005164134787026777,0.9111070875155005,0.04809096514800279,226493.84057205173,373.57931011971664,3
128,1,2,0.9178850408229039,0.03672064352187873,0.9956768038163387,0.00034157540958224073,0.9355045220506311,0.02009922845138676,1019046.70483361,4474.232005539564,3
128,1,4,0.9409623667082879,0.0050234977722434515,0.9957513416815743,0.0002236135957066343,0.9378333081433698,0.00577026255583875,893538.4497403294,4121.605184838158,3
128,1,8,0.8627373409703635,0.11045522474854083,0.9951550387596898,0.0008465874099284813,0.9463687496236944,0.008483138022140173,696143.703614303,5005.0963211525295,3
128,2,2,0.9152823916624854,0.04671017040067801,0.9956022659511032,0.0005627485416868275,0.9466346555970628,0.008654291901075766,533407.2260323566,4772.921006313822,3
128,2,4,0.9361700066431254,0.013923862858213709,0.9955277280858676,0.0008062502852110787,0.9511059872976007,0.00514377031475665,457926.2953847486,4267.169078088143,3
128,2,8,0.9380407071906123,0.01320634402118875,0.9958258795468099,0.0008465874099284814,0.9509692583319443,0.009123774555620605,359600.86216705624,1048.8598495311996,3
128,4,2,0.9371213504524972,0.010384273275566399,0.9956768038163387,0.0006455168483783632,0.9507304309939228,0.010059746575240522,268727.78728602914,447.49727167039197,3
128,4,4,0.9241456427201018,0.033350868121222184,0.996273106738223,0.0006831508191645178,0.9548646407153861,0.0031832840042419937,232830.70418484797,1045.0425242581373,3
128,4,8,0.8204348204173392,0.11419302057667588,0.9953786523553966,0.000718817140801494,0.8884253698071304,0.10655465091073045,179632.52404535166,509.5108882052595,3
256,1,2,0.9155201263613599,0.04836908162595868,0.9956768038163387,0.000562748541686868,0.9547514915694265,0.007016158147187244,637204.2149377499,3796.465694733177,3
256,1,4,0.9154089926681097,0.034134691855302206,0.9956768038163387,0.0001291033696756534,0.9443173124338151,0.013263924234752615,580685.6364207995,2311.687509662672,3
256,1,8,0.9442150900855394,0.0010651618880753173,0.9959004174120453,0.0001291033696757015,0.9439016663177214,0.017317912657753964,499353.26077166805,2368.0029680901225,3
256,2,2,0.8706128391070762,0.07344112152976635,0.9955277280858676,0.0006708407871198752,0.9517433902216853,0.00932117005114304,323130.65323714475,1738.5716202012911,3
256,2,4,0.9456123682887186,0.006280122382832067,0.9961240310077519,0.00046548881920083993,0.94671341759236,0.014527918113860856,292719.8790760697,2528.488606668103,3
256,2,8,0.9222972351447544,0.03584096495049763,0.9959004174120453,0.0001291033696757015,0.940894076765738,0.010606157302861578,250840.73590902684,1105.9276311422682,3
256,4,2,0.8959648202530673,0.08839114690755408,0.9958258795468099,0.0006831508191645421,0.944036928099219,0.012006792628597102,160798.8404810971,233.41850671758363,3
256,4,4,0.906916118177166,0.08037827166246968,0.9961240310077519,0.0010083295511678686,0.9429285439264401,0.01322561259277526,146167.34975310802,267.0671584567159,3
256,4,8,0.9338847337649344,0.01652081329655423,0.9954531902206321,0.0007853051395984713,0.9361192279962474,0.008067954674171533,126477.78764790815,239.37504008759305,3
